Location,Loc_Code,FilmDate,Disturbance,Loc_Disturbance,Bound,Notes,,,,,,,,,,,,,,,,,
Black Point,BPT,2003-09-09,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2005-05-20,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2005-09-26,BL05,BPT_BL05,start,,,,,,,,,,,,,,,,,,
Black Point,BPT,2006-07-14,BL05,BPT_BL05,end,,,,,,,,,,,,,,,,,,
Black Point,BPT,2007-09-14,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2008-09-18,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2009-09-02,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2010-10-21,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2011-10-20,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2012-10-25,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2013-10-23,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2014-10-17,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2015-10-14,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2016-10-03,Storm17,BPT_Storm17,start,,,,,,,,,,,,,,,,,,
Black Point,BPT,2017-12-07,Storm17,BPT_Storm17,end,,,,,,,,,,,,,,,,,,
Black Point,BPT,2018-03-29,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2018-11-21,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2019-02-12,SCTLD,BPT_SCTLD,start,,,,,,,,,,,,,,,,,,
Black Point,BPT,2019-07-09,SCTLD,BPT_SCTLD,interval,,,,,,,,,,,,,,,,,,
Black Point,BPT,2019-10-30,SCTLD,BPT_SCTLD,end,,,,,,,,,,,,,,,,,,
Black Point,BPT,2020-02-11,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2020-07-06,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
Black Point,BPT,2020-10-30,ID,BPT_ID,,,,,,,,,,,,,,,,,,,
