SampleYear,SampleMonth,Period,Location,FilmDate,NoPts,AnalysisBy,AnalysisDate,Transect,AA,AC,AF,AG,AGSP,AH,AL,AP,APR,AT,AU,CN,CORAL,CORJU,DCY,DL,DSO,EF,FF,HC,IR,IS,MAFO,MAL,MAN,MAR,MC,MD,MDA,MF,MILA,MILC,MILS,ML,MM,MME,MSPP,MYSP,OA,OD,OFAV,OFRA,OX,PA,PB,PBSP,PC,PCL,PD,PF,PP,PS,SB,SC,SCSP,SH,SI,SL,SR,SS,SSPP,TC,BRIA,ENGO,ERYTH,FAN,GO,PLUME,ROD,WHIP,BALL,BASP,BOSP,CLIO,CLSP,ENSP,ROPE,SPO,TUBE,PALY,ZO,ZOSO,ANEM,CMOR,AMPH,CALG,CLAD,DICT,HALI,LIAG,LOBO,MACA,MICRO,PEY,RAMI,SARG,FLCY,LYNG,SCHIZ,EAC,B,P,R,RO,S,O,UNK,TWS,BL,BBD,WBD,PLA,YBD,DSD,DCOR,SCTLD,Check,Notes
2025,3,PostBL,Botany Bay,3/19/25,260,Adeline Shelby,6/5/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.4,0.8,0,0,0,0,0,0,0,0,0,22.89,0,0,0.4,26.91,0,0,0.4,0,0.4,0,0,31.73,0,0,0,0,2.41,0,9.64,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Botany Bay,3/19/25,260,Adeline Shelby,6/5/25,2,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0.42,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0.42,0.42,1.68,0,0,0,0,0,0,0,0,0,21.43,0,0,0,22.69,0,0,0,0,0,0,0,38.24,0,0,0,0,0.84,0,9.66,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Botany Bay,3/19/25,260,Adeline Shelby,6/5/25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,27.82,0,0,0.4,24.19,0,0,0,0,0,0,0,35.89,0,0,0,0,0.4,0,8.47,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Botany Bay,3/19/25,260,Erin Hollander,6/12/25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.42,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0.85,0.85,2.54,0,0,0,0,0,0,0,0,0,1.69,1.27,0,0.85,0,0,0,0,0,0.42,0,27.54,0,0,0,6.78,0,0,0,0,1.27,0,0,48.73,0,0,0,0,0,0,4.24,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Botany Bay,3/19/25,240,Erin Hollander,6/13/25,5,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,1.85,0,24.07,3.7,0,0,6.94,0,0,11.11,0,0,0,0,48.61,0,0,0,0,0,0,0.46,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Botany Bay,3/19/25,320,Erin Hollander,6/13/25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,2.32,0,0.33,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,1.32,0.33,0.66,0,0,0,0,0,0,0,0,0,25.83,1.66,0,0.99,13.91,0,0,0.66,0,2.65,0,0,38.41,0,0,0,0,4.64,0,2.32,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Magens Bay,3/19/25,160,Adeline Shelby,6/17/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0.72,0,0,0,0,1.44,0.72,0,0,0,0,0,0,0,0,0,53.96,0,0,0,23.02,0,0,0,0,1.44,0,0,2.88,0,0,0,0,7.91,0,5.04,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Magens Bay,3/19/25,280,Adeline Shelby,6/17/25,2,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0.39,0.39,1.17,0,0,0,0,0,0,0,0,0,53.31,0,0,0,12.06,0,0,0,0,0,0,0,16.73,0,0,0,0,5.06,0,6.23,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Magens Bay,3/19/25,320,Adeline Shelby,6/17/25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.66,0,0,0,0,0.33,0,0,0,0,2.33,1.33,0,0,0,0,0,0,0,0,0,51.83,0,0,0,15.28,0,0,0,0,1.33,0,0,10.3,0,0,0,0,7.31,0,7.97,,0,0,0,0,0,0,0,0,100,
2025,3,PostBL,Magens Bay,3/19/25,280,Erin Hollander,6/18/25,4,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,1.52,0,0,0,0,0,0,0,0,0.38,0,0.76,0,0,0,0,0,0,0,0,0,16.67,0,0,0,47.35,0,0,0,0,2.65,0,0,12.88,0,0,0,0,6.44,0.38,3.41,,0,0,0,0,0,0,0,0,100,
