"colony_id","location","surveyyear","period","method","transect","species","category","code","code_meaning","extent","notes"
"250326BPTT1091559","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",70,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091560","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",15,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091560","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","FIL","Filamentous turf",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091561","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Macroalgae","DICT","Dictyota spp.",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091561","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Sponge","CLIO","Cliothosa delitrix (formerly Cliona delitrix)",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091562","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091562","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Macroalgae","LOBO","Lobophora spp.",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091562","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Macroalgae","DICT","Dictyota spp.",1,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091562","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Sponge","ROPE","Rope sponge",20,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091562","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Sponge","ENSP","Encrusting sponge",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091563","Black Point",2025,"PBL","belt-50cm","1","Porites porites",NA,NA,NA,0,NA
"250326BPTT1091564","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Macroalgae","MACA","Macroalgae",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091565","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091566","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT1091567","Black Point",2025,"PBL","belt-50cm","1","Porites porites","Macroalgae","LOBO","Lobophora spp.",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091568","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091569","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091570","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091571","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","FILSED","Filamentous turf with sediment",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091571","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Predation","BITES","Bites",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091572","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","FIL","Filamentous turf",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS; recent mort from bites"
"250326BPTT1091572","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Predation","BITES","Bites",20,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS; recent mort from bites"
"250326BPTT1091573","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091574","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Sponge","ICING","Icing sponge",1,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091575","Black Point",2025,"PBL","belt-50cm","1","Orbicella annularis","Cyanobacteria","CYAN","Cyanobacteria",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091575","Black Point",2025,"PBL","belt-50cm","1","Orbicella annularis","Macroalgae","DICT","Dictyota spp.",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091575","Black Point",2025,"PBL","belt-50cm","1","Orbicella annularis","Macroalgae","MACA","Macroalgae",1,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091575","Black Point",2025,"PBL","belt-50cm","1","Orbicella annularis","Sponge","ENSP","Encrusting sponge",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091575","Black Point",2025,"PBL","belt-50cm","1","Orbicella annularis","Sponge","ROPE","Rope sponge",1,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091575","Black Point",2025,"PBL","belt-50cm","1","Orbicella annularis","Worm","XMAS","Christmas tree worm",1,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091576","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","LOBO","Lobophora spp.",3,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091577","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091578","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091579","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",40,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091580","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",20,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091580","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Macroalgae","DICT","Dictyota spp.",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091580","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Worm","CHMN","Chimney",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091581","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",50,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091582","Black Point",2025,"PBL","belt-50cm","1","Porites porites",NA,NA,NA,0,NA
"250326BPTT1091583","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",15,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091584","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091585","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",80,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091586","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",25,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091587","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT1091588","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT1091589","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091589","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091590","Black Point",2025,"PBL","belt-50cm","1","Siderastrea spp.","Cyanobacteria","CYAN","Cyanobacteria",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091591","Black Point",2025,"PBL","belt-50cm","1","Porites porites","Macroalgae","DICT","Dictyota spp.",20,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091591","Black Point",2025,"PBL","belt-50cm","1","Porites porites","Sponge","SPO","Sponge",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091592","Black Point",2025,"PBL","belt-50cm","1","Orbicella franksi","Corallivore","SNAIL","Snail",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091592","Black Point",2025,"PBL","belt-50cm","1","Orbicella franksi","Cyanobacteria","CYAN","Cyanobacteria",10,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091592","Black Point",2025,"PBL","belt-50cm","1","Orbicella franksi","Macroalgae","DICT","Dictyota spp.",8,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091593","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091593","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",20,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091594","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",50,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091594","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091594","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Sponge","ENSP","Encrusting sponge",4,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091595","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT1091596","Black Point",2025,"PBL","belt-50cm","1","Porites porites","Macroalgae","DICT","Dictyota spp.",20,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091597","Black Point",2025,"PBL","belt-50cm","1","Agaricia agaricites",NA,NA,NA,0,NA
"250326BPTT1091598","Black Point",2025,"PBL","belt-50cm","1","Porites porites","Cyanobacteria","CYAN","Cyanobacteria",80,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091599","Black Point",2025,"PBL","belt-50cm","1","Porites porites","Macroalgae","DICT","Dictyota spp.",5,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091600","Black Point",2025,"PBL","belt-50cm","1","Siderastrea siderea","Sponge","SPO","Sponge",2,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091601","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091602","Black Point",2025,"PBL","belt-50cm","1","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",90,"added old mortality 3% to SSID with measurements of (6,6,2) - ALS"
"250326BPTT1091603","Black Point",2025,"PBL","intercept","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091604","Black Point",2025,"PBL","intercept","1","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT1091605","Black Point",2025,"PBL","intercept","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",10,NA
"250326BPTT1091606","Black Point",2025,"PBL","intercept","1","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",30,NA
"250326BPTT1091606","Black Point",2025,"PBL","intercept","1","Siderastrea siderea","Sponge","CLSP","Cliona spp.",1,NA
"250326BPTT1091606","Black Point",2025,"PBL","intercept","1","Siderastrea siderea","Sponge","SPO","Sponge",5,NA
"250326BPTT1091607","Black Point",2025,"PBL","intercept","1","Siderastrea siderea","Sponge","CLSP","Cliona spp.",3,NA
"250326BPTT1091608","Black Point",2025,"PBL","intercept","1","Orbicella annularis","Sponge","ICING","Icing sponge",1,NA
"250326BPTT1091609","Black Point",2025,"PBL","intercept","1","Porites astreoides","Macroalgae","DICT","Dictyota spp.",1,NA
"250326BPTT2089202","Black Point",2025,"PBL","intercept","2","Orbicella annularis","Macroalgae","FIL","Filamentous turf",2,NA
"250326BPTT2089202","Black Point",2025,"PBL","intercept","2","Orbicella annularis","Macroalgae","DICT","Dictyota spp.",1,NA
"250326BPTT2089203","Black Point",2025,"PBL","intercept","2","Porites porites","Sponge","SPO","Sponge",1,NA
"250326BPTT2089204","Black Point",2025,"PBL","intercept","2","Orbicella annularis","Macroalgae","DICT","Dictyota spp.",2,NA
"250326BPTT2089204","Black Point",2025,"PBL","intercept","2","Orbicella annularis","Predation","PRED","Predation",5,NA
"250326BPTT2089205","Black Point",2025,"PBL","intercept","2","Orbicella annularis","Cyanobacteria","CYAN","Cyanobacteria",10,NA
"250326BPTT2089206","Black Point",2025,"PBL","intercept","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",2,NA
"250326BPTT2089207","Black Point",2025,"PBL","intercept","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",3,NA
"250326BPTT2089208","Black Point",2025,"PBL","intercept","2","Siderastrea radians",NA,NA,NA,0,NA
"250326BPTT2089209","Black Point",2025,"PBL","intercept","2","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT2091610","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea","Macroalgae","DICT","Dictyota spp.",5,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091611","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",10,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091611","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",20,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091612","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT2091613","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT2091614","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",20,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091615","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",2,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091616","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",5,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091617","Black Point",2025,"PBL","belt-50cm","2","Branching Porites spp.",NA,NA,NA,0,NA
"250326BPTT2091618","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides",NA,NA,NA,0,NA
"250326BPTT2091619","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",10,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091620","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",4,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091621","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",5,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091622","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",40,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091623","Black Point",2025,"PBL","belt-50cm","2","Stephanocoenia intersepta","Cyanobacteria","CYAN","Cyanobacteria",25,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091623","Black Point",2025,"PBL","belt-50cm","2","Stephanocoenia intersepta","Macroalgae","DICT","Dictyota spp.",20,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091623","Black Point",2025,"PBL","belt-50cm","2","Stephanocoenia intersepta","Sponge","ROPE","Rope sponge",10,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091624","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",10,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091624","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea","Sponge","SPO","Sponge",3,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091625","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",8,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091626","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT2091627","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",5,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091628","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Macroalgae","DICT","Dictyota spp.",2,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091629","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea","Macroalgae","DICT","Dictyota spp.",4,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091630","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea",NA,NA,NA,0,NA
"250326BPTT2091631","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",50,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091632","Black Point",2025,"PBL","belt-50cm","2","Porites astreoides","Cyanobacteria","CYAN","Cyanobacteria",90,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
"250326BPTT2091633","Black Point",2025,"PBL","belt-50cm","2","Siderastrea siderea","Cyanobacteria","CYAN","Cyanobacteria",20,"changed the first PAST from 9 cm to 8cm for length. PAST with the measurements (7,5,3 cm), there's no 3 on the data sheet for height, the box is empty - ALS"
