Location,Disturbance,start,end,Period.Year.Start,Cover_Start,Period.Year.End,Cover_End,relative.cover.percent,absolute.cover
Black Point,BL05,9/26/05,7/14/06,2005.PeakBL.start,16.54666667,2006.Annual.end,10.13166667,-38.77,-6.42
Black Point,Storm17,10/3/16,12/7/17,2016.Annual.start,18.19,2017.Annual.end,15.55833333,-14.47,-2.63
Black Point,SCTLD,2/12/19,10/30/19,2019.SCTLD.start,16.96166667,2019.Annual.end,14.65,-13.63,-2.31
Black Point,Diadema,10/22/21,10/10/22,2021.Annual.start,11.49333333,2022.Annual.end,11.82,2.84,0.33
Black Point,BL23,10/17/23,2/15/24,2023.Annual.start,12.41166667,2024.PostBL.end,9.398333333,-24.28,-3.01
Black Point,BL24,10/11/24,3/26/25,2024.Annual.start,7.386666667,2025.PostBL.end,5.675,-23.17,-1.71
Botany Bay,BL05,10/12/05,6/21/06,2005.PeakBL.start,15.31,2006.Annual.end,10.49166667,-31.47,-4.82
Botany Bay,Storm17,12/8/16,12/11/17,2016.Annual.start,8.156666667,2017.Annual.end,5.301666667,-35,-2.85
Botany Bay,SCTLD,11/24/18,11/8/19,2018.Annual.start,3.876666667,2019.Annual.end,2.476666667,-36.11,-1.4
Botany Bay,Diadema,10/18/21,10/3/22,2021.Annual.start,2.906666667,2022.Annual.end,3.021666667,3.96,0.11
Botany Bay,BL23,10/12/23,4/17/24,2023.Annual.start,4.075,2024.PostBL.end,1.953333333,-52.07,-2.12
Botany Bay,BL24,10/17/24,3/19/25,2024.Annual.start,2.633333333,2025.PostBL.end,2.803333333,6.46,0.17
Brewers Bay,BL05,6/25/03,2/18/08,2003.Annual.start,39.535,2008.Annual.end,28.04833333,-29.05,-11.49
Brewers Bay,Storm17,10/20/16,11/28/17,2016.Annual.start,26.62666667,2017.Annual.end,28.09833333,5.53,1.47
Brewers Bay,SCTLD,10/11/18,10/29/19,2018.Annual.start,29.91,2019.Annual.end,27.74,-7.26,-2.17
Brewers Bay,Diadema,10/22/21,9/28/22,2021.Annual.start,10.63666667,2022.Annual.end,11.88666667,11.75,1.25
Brewers Bay,BL23,10/17/23,4/11/24,2023.Annual.start,9.766666667,2024.PostBL.end,9.85,0.85,0.08
Brewers Bay,BL24,10/11/24,3/26/25,2024.Annual.start,9.126666667,2025.PostBL.end,8.961666667,-1.81,-0.17
Buck Island STT,BL05,9/27/05,6/28/06,2005.PeakBL.start,5.798333333,2006.Annual.end,6.87,18.48,1.07
Buck Island STT,Storm17,11/23/16,12/5/17,2016.Annual.start,5.716666667,2017.Annual.end,5.875,2.77,0.16
